x1_values,sigma_values
0,-4.75656166
0.5,-5.51369463
1,-6.2708276
1.5,-7.02796057
2,-7.785093541
2.5,-8.542226511
3,-9.299359481
3.5,-10.05649245
4,-10.81362542
4.5,-11.57075839
5,-12.32789136
5,-12.32789136
5.5,-13.64966458
6,-14.9714378
6.5,-16.29321102
7,-17.61498423
7.5,-18.93675745
8,-20.25853067
8.5,-21.58030389
9,-22.90207711
9.5,-24.22385032
10,-25.54562354
10,-25.54562354
10.5,-26.54942553
11,-27.55322752
11.5,-28.55702952
12,-29.56083151
12.5,-30.5646335
13,-31.56843549
13.5,-32.57223748
14,-33.57603947
14.5,-34.57984147
15,-35.58364346
15,-35.58364346
15.5,-36.50658988
16,-37.42953631
16.5,-38.35248273
17,-39.27542916
17.5,-40.19837558
18,-41.12132201
18.5,-42.04426844
19,-42.96721486
19.5,-43.89016129
20,-44.81310771
20,-44.81310771
20.5,-45.57983982
21,-46.34657193
21.5,-47.11330404
22,-47.88003614
22.5,-48.64676825
23,-49.41350036
23.5,-50.18023247
24,-50.94696458
24.5,-51.71369668
25,-52.48042879
25,-52.48042879
25.5,-53.11161773
26,-53.74280666
26.5,-54.3739956
27,-55.00518454
27.5,-55.63637347
28,-56.26756241
28.5,-56.89875135
29,-57.52994028
29.5,-58.16112922
30,-58.79231816
30,-58.79231816
30.5,-59.282393
31,-59.77246785
31.5,-60.26254269
32,-60.75261754
32.5,-61.24269238
33,-61.73276723
33.5,-62.22284207
34,-62.71291692
34.5,-63.20299176
35,-63.69306661
35,-63.69306661
35.5,-64.04345056
36,-64.39383451
36.5,-64.74421846
37,-65.09460241
37.5,-65.44498636
38,-65.79537031
38.5,-66.14575426
39,-66.49613821
39.5,-66.84652216
40,-67.19690612
40,-67.19690612
40.5,-67.40710498
41,-67.61730384
41.5,-67.8275027
42,-68.03770156
42.5,-68.24790043
43,-68.45809929
43.5,-68.66829815
44,-68.87849701
44.5,-69.08869588
45,-69.29889474
45,-69.29889474
45.5,-69.3689784
46,-69.43906205
46.5,-69.50914571
47,-69.57922937
47.5,-69.64931303
48,-69.71939668
48.5,-69.78948034
49,-69.859564
49.5,-69.92964766
50,-69.99973131
50,-69.99973131
50.5,-69.92964767
51,-69.85956402
51.5,-69.78948038
52,-69.71939673
52.5,-69.64931309
53,-69.57922945
53.5,-69.5091458
54,-69.43906216
54.5,-69.36897851
55,-69.29889487
55,-69.29889487
55.5,-69.08869602
56,-68.87849717
56.5,-68.66829832
57,-68.45809947
57.5,-68.24790062
58,-68.03770177
58.5,-67.82750292
59,-67.61730407
59.5,-67.40710522
60,-67.19690637
60,-67.19690637
60.5,-66.84652243
61,-66.4961385
61.5,-66.14575456
62,-65.79537062
62.5,-65.44498668
63,-65.09460274
63.5,-64.74421881
64,-64.39383487
64.5,-64.04345093
65,-63.69306699
65,-63.69306699
65.5,-63.20299216
66,-62.71291732
66.5,-62.22284249
67,-61.73276765
67.5,-61.24269282
68,-60.75261798
68.5,-60.26254315
69,-59.77246831
69.5,-59.28239348
70,-58.79231864
70,-58.79231864
70.5,-58.16112971
71,-57.52994078
71.5,-56.89875185
72,-56.26756291
72.5,-55.63637398
73,-55.00518505
73.5,-54.37399612
74,-53.74280719
74.5,-53.11161826
75,-52.48042933
75,-52.48042933
75.5,-51.71369721
76,-50.9469651
76.5,-50.18023298
77,-49.41350087
77.5,-48.64676875
78,-47.88003664
78.5,-47.11330452
79,-46.34657241
79.5,-45.57984029
80,-44.81310818
80,-44.81310818
80.5,-43.89016176
81,-42.96721533
81.5,-42.04426891
82,-41.12132249
82.5,-40.19837607
83,-39.27542965
83.5,-38.35248323
84,-37.42953681
84.5,-36.50659039
85,-35.58364397
85,-35.58364397
85.5,-34.57984194
86,-33.5760399
86.5,-32.57223786
87,-31.56843583
87.5,-30.56463379
88,-29.56083176
88.5,-28.55702972
89,-27.55322768
89.5,-26.54942565
90,-25.54562361
90,-25.54562361
90.5,-24.22385048
91,-22.90207736
91.5,-21.58030423
92,-20.2585311
92.5,-18.93675797
93,-17.61498485
93.5,-16.29321172
94,-14.97143859
94.5,-13.64966546
95,-12.32789233
95,-12.32789233
95.5,-11.57075926
96,-10.81362619
96.5,-10.05649312
97,-9.299360047
97.5,-8.542226976
98,-7.785093904
98.5,-7.027960832
99,-6.27082776
99.5,-5.513694688
100,-4.756561616
