x1_values,sigma_values
0.00E+00,21.0761114
0.500000007,21.04596837
1.000000015,21.01582535
1.500000022,20.98568232
2.00000003,20.9555393
2.500000037,20.92539627
3.000000045,20.89525324
3.500000052,20.86511022
4.00000006,20.83496719
4.500000067,20.80482417
5.000000075,20.77468114
5,20.77468115
5.500000007,20.68847682
6.000000015,20.60227249
6.500000022,20.51606816
7.00000003,20.42986383
7.500000037,20.34365951
8.000000045,20.25745518
8.500000052,20.17125085
9.00000006,20.08504652
9.500000067,19.9988422
10.00000007,19.91263787
10,19.91263788
10.50000001,19.77644389
11.00000001,19.64024991
11.50000002,19.50405592
12.00000003,19.36786193
12.50000004,19.23166794
13.00000004,19.09547396
13.50000005,18.95927997
14.00000006,18.82308598
14.50000007,18.68689199
15.00000007,18.55069801
15,18.55069803
15.50000001,18.37022782
16.00000001,18.18975761
16.50000002,18.0092874
17.00000003,17.82881719
17.50000004,17.64834698
18.00000004,17.46787677
18.50000005,17.28740655
19.00000006,17.10693634
19.50000007,16.92646613
20.00000007,16.74599592
20,16.74599595
20.50000001,16.52758008
21.00000001,16.30916422
21.50000002,16.09074835
22.00000003,15.87233248
22.50000004,15.65391661
23.00000004,15.43550075
23.50000005,15.21708488
24.00000006,14.99866901
24.50000007,14.78025315
25.00000007,14.56183728
25,14.56183731
25.50000001,14.31179614
26.00000001,14.06175497
26.50000002,13.8117138
27.00000003,13.56167263
27.50000004,13.31163146
28.00000004,13.06159029
28.50000005,12.81154912
29.00000006,12.56150795
29.50000007,12.31146678
30.00000007,12.06142561
30,12.06142564
30.50000001,11.78607805
31.00000001,11.51073046
31.50000002,11.23538287
32.00000003,10.96003528
32.50000004,10.68468769
33.00000004,10.4093401
33.50000005,10.13399251
34.00000006,9.858644923
34.50000007,9.583297333
35.00000007,9.307949742
35,9.307949784
35.50000001,9.013617044
36.00000001,8.719284304
36.50000002,8.424951565
37.00000003,8.130618825
37.50000004,7.836286086
38.00000004,7.541953346
38.50000005,7.247620607
39.00000006,6.953287867
39.50000007,6.658955128
40.00000007,6.364622388
40,6.364622432
40.50000001,6.057630477
41.00000001,5.750638521
41.50000002,5.443646566
42.00000003,5.13665461
42.50000004,4.829662655
43.00000004,4.5226707
43.50000005,4.215678744
44.00000006,3.908686789
44.50000007,3.601694833
45.00000007,3.294702878
45,3.294702924
45.50000001,2.981380661
46.00000001,2.668058397
46.50000002,2.354736134
47.00000003,2.041413871
47.50000004,1.728091608
48.00000004,1.414769345
48.50000005,1.101447082
49.00000006,0.788124819
49.50000007,0.474802556
50.00000007,0.161480293
50,0.161480339
50.50000001,-0.151841924
51.00000001,-0.465164187
51.50000002,-0.778486451
52.00000003,-1.091808714
52.50000004,-1.405130978
53.00000004,-1.718453241
53.50000005,-2.031775504
54.00000006,-2.345097768
54.50000007,-2.658420031
55.00000007,-2.971742295
55,-2.971742248
55.50000001,-3.278734204
56.00000001,-3.585726161
56.50000002,-3.892718117
57.00000003,-4.199710074
57.50000004,-4.50670203
58.00000004,-4.813693987
58.50000005,-5.120685943
59.00000006,-5.427677899
59.50000007,-5.734669856
60.00000007,-6.041661812
60,-6.041661766
60.50000001,-6.335994508
61.00000001,-6.630327249
61.50000002,-6.92465999
62.00000003,-7.218992731
62.50000004,-7.513325472
63.00000004,-7.807658213
63.50000005,-8.101990955
64.00000006,-8.396323696
64.50000007,-8.690656437
65.00000007,-8.984989178
65,-8.984989134
65.50000001,-9.260336727
66.00000001,-9.535684319
66.50000002,-9.811031911
67.00000003,-10.0863795
67.50000004,-10.3617271
68.00000004,-10.63707469
68.50000005,-10.91242228
69.00000006,-11.18776987
69.50000007,-11.46311747
70.00000007,-11.73846506
70,-11.73846502
70.50000001,-11.98850619
71.00000001,-12.23854736
71.50000002,-12.48858854
72.00000003,-12.73862971
72.50000004,-12.98867088
73.00000004,-13.23871205
73.50000005,-13.48875323
74.00000006,-13.7387944
74.50000007,-13.98883557
75.00000007,-14.23887675
75,-14.23887671
75.50000001,-14.45729258
76.00000001,-14.67570845
76.50000002,-14.89412432
77.00000003,-15.11254019
77.50000004,-15.33095606
78.00000004,-15.54937193
78.50000005,-15.7677878
79.00000006,-15.98620367
79.50000007,-16.20461954
80.00000007,-16.42303541
80,-16.42303537
80.50000001,-16.60350559
81.00000001,-16.7839758
81.50000002,-16.96444601
82.00000003,-17.14491622
82.50000004,-17.32538644
83.00000004,-17.50585665
83.50000005,-17.68632686
84.00000006,-17.86679707
84.50000007,-18.04726728
85.00000007,-18.2277375
85,-18.22773747
85.50000001,-18.36393146
86.00000001,-18.50012545
86.50000002,-18.63631944
87.00000003,-18.77251343
87.50000004,-18.90870742
88.00000004,-19.04490141
88.50000005,-19.1810954
89.00000006,-19.31728939
89.50000007,-19.45348338
90.00000007,-19.58967736
90,-19.58967734
90.50000001,-19.67588167
91.00000001,-19.762086
91.50000002,-19.84829033
92.00000003,-19.93449465
92.50000004,-20.02069898
93.00000004,-20.10690331
93.50000005,-20.19310763
94.00000006,-20.27931196
94.50000007,-20.36551629
95.00000007,-20.45172062
95,-20.4517206
95.50000001,-20.48186363
96.00000001,-20.51200666
96.50000002,-20.54214969
97.00000003,-20.57229271
97.50000004,-20.60243574
98.00000004,-20.63257877
98.50000005,-20.6627218
99.00000006,-20.69286483
99.50000007,-20.72300785
100.0000001,-20.75315088
